place_id,day,hour,busy_percent
1baaafac-f894-5022-b084-4100f0ab7244,Senin,7,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,8,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,9,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,10,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,11,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,12,0
1baaafac-f894-5022-b084-4100f0ab7244,Senin,13,10
1baaafac-f894-5022-b084-4100f0ab7244,Senin,14,15
1baaafac-f894-5022-b084-4100f0ab7244,Senin,15,23
1baaafac-f894-5022-b084-4100f0ab7244,Senin,16,34
1baaafac-f894-5022-b084-4100f0ab7244,Senin,17,46
1baaafac-f894-5022-b084-4100f0ab7244,Senin,18,53
1baaafac-f894-5022-b084-4100f0ab7244,Senin,19,60
1baaafac-f894-5022-b084-4100f0ab7244,Senin,20,62
1baaafac-f894-5022-b084-4100f0ab7244,Senin,21,59
1baaafac-f894-5022-b084-4100f0ab7244,Senin,22,45
1baaafac-f894-5022-b084-4100f0ab7244,Senin,23,0
cd79040c-b185-57a0-a201-5ee41101c098,Senin,4,16
cd79040c-b185-57a0-a201-5ee41101c098,Senin,5,24
cd79040c-b185-57a0-a201-5ee41101c098,Senin,6,38
cd79040c-b185-57a0-a201-5ee41101c098,Senin,7,57
cd79040c-b185-57a0-a201-5ee41101c098,Senin,8,67
cd79040c-b185-57a0-a201-5ee41101c098,Senin,9,71
cd79040c-b185-57a0-a201-5ee41101c098,Senin,10,68
cd79040c-b185-57a0-a201-5ee41101c098,Senin,11,63
cd79040c-b185-57a0-a201-5ee41101c098,Senin,12,58
cd79040c-b185-57a0-a201-5ee41101c098,Senin,13,56
cd79040c-b185-57a0-a201-5ee41101c098,Senin,14,62
cd79040c-b185-57a0-a201-5ee41101c098,Senin,15,80
cd79040c-b185-57a0-a201-5ee41101c098,Senin,16,98
cd79040c-b185-57a0-a201-5ee41101c098,Senin,17,100
cd79040c-b185-57a0-a201-5ee41101c098,Senin,18,76
cd79040c-b185-57a0-a201-5ee41101c098,Senin,19,64
cd79040c-b185-57a0-a201-5ee41101c098,Senin,20,59
cd79040c-b185-57a0-a201-5ee41101c098,Senin,21,62
cd79040c-b185-57a0-a201-5ee41101c098,Senin,22,60
