id,place_id,text,rating,hash
ef3892f2-eb9d-5cc3-a7c0-f23da30aa1b0,4bd218f8-a8b2-572b-85c4-89c05d8bfc9c,"Agustino | Local Guide · 141 ulasan · 21 foto | 2 bulan lalu | Tempat yg asik untuk les footsal, tapi sayang banyak nyamuk nya | Suka | Bagikan",,8964af8f99bb
c8381a75-f44b-5278-acfa-4c1f49bf7a21,4bd218f8-a8b2-572b-85c4-89c05d8bfc9c,F | Local Guide · 266 ulasan · 1.049 foto | 2 tahun lalu | Lapangan futsal dengan rumput yang hijau dan lokasi yang strategis. | Suka | Bagikan,,0e1a3f16fbd9
24e3dbab-0e0a-5abf-ac43-189a8d5abc34,2d67d794-a276-5038-9ba8-d51bfdbef948,"BALF | Local Guide · 183 ulasan · 1.402 foto | 2 bulan lalu | Pertama kali datang kesini. Lokasi nya di Komplek Perumahan Greenville. HTM 75 k (per 14 Juni 2026). Fasilitas olahraga terdapat alat fitness, 2 meja pingpong, dan 3 kolam renang (2 kolam anak dan 1 kolam dewasa). Disediakan juga kantin … Lainnya | +7 | 1 | Bagikan | Tanggapan dari pemilik 2 bulan lalu | Hai BALF, terima kasih banyak sudah mampir pertama kali dan meluangkan waktu untuk review yang sangat detail ini! 😊 Senang banget kamu nyaman dengan fasilitas, kebersihan, dan layanan kantin kami. Untuk catatan mengenai keramik kolam dan … Lainnya",,27b05da303c2
d598f32e-6b0f-5fda-b9ac-89f5f185c6ba,2d67d794-a276-5038-9ba8-d51bfdbef948,"Verayani Arif | Local Guide · 18 ulasan · 85 foto | 3 bulan lalu | *POV nyobain berenang disini, tp disini banyak arena lainnya yg belum aku coba. | Kolamnya Luas bgt. … Lainnya | +10 | Suka | Bagikan | Tanggapan dari pemilik 3 bulan lalu | Makasih banyak, Kak Verayani, udah mau sharing pengalaman berenang di TSC selengkap ini — bahkan sampai info dari IG admin-nya ikut di-share, helpful banget buat pengunjung lain! 🙏 Seneng banget denger kolamnya, toilet, dan lifeguard-nya … Lainnya",,9d863e89c55d
1f222cb5-fcd9-55c8-9e35-70cb6c12a4dc,2d67d794-a276-5038-9ba8-d51bfdbef948,"Okta Chandika Salsabila | Local Guide · 122 ulasan · 488 foto | Diedit 3 bulan lalu | Harga tiket masuk 85 ribu, pembayaran bisa pake QRIS. Tiket sudah termasuk kolam renang dan gym. Kolam renang memiliki kedalaman maksimal 1.55 meter. Kamar mandinya banyak, ada shower air hangat dan tersedia sabun cair dan shampoo untuk … Lainnya | +8 | Suka | Bagikan | Tanggapan dari pemilik 3 bulan lalu | Hii Okta, makasih banyak udah mau cerita pengalamannya secara detail dan jujur ya 😊 Seneng banget denger kamu udah jadi pelanggan setia TSC tiap minggunya! Tapi soal kejadian sama resepsionis kemarin, kami minta maaf banget — itu sama … Lainnya",,e78203cb2760
acb88161-ed88-59e4-ad8c-ac8d1963ab22,f04edfab-d9a8-5dca-bb81-b7bc2d5965af,"Vinn Apinn | 2 ulasan | 6 bulan lalu | bagus, nganter shoppefood satpam nya asik baik engga mandang orang lain | Suka | Bagikan",,dcad88b6139b
ea5237c3-3238-5c21-99eb-3917a93972dd,f04edfab-d9a8-5dca-bb81-b7bc2d5965af,"Nur Aisah | 7 ulasan · 2 foto | 10 bulan lalu | security nya tengil. berasa dia yg punya rumah di dalem, arogan, g sopan dan emosional. g bgt | Suka | Bagikan",,ff401be71221
019efba4-cd60-51ca-9dcf-4a0bc7d43b7c,f04edfab-d9a8-5dca-bb81-b7bc2d5965af,Ridwan Tejalesmana | Local Guide · 1.510 ulasan · 9.725 foto | 3 bulan lalu | Kompleks nya bagus terawat | Suka | Bagikan,,2973626b8f79
ec9eb04a-435b-5c6d-983e-f4d01e396712,e6adb728-5bd1-53c8-bd43-67b07d4a1c2b,Vincent Harefa | 365 ulasan · 234 foto | 9 tahun lalu | Design rumahnya bagus tapi sharing dari satu pemilik rumah ternyata para pemilik sedang berselisih dgn developernya mengenai hak2 penghuni yg tidak terealisasi sesuai janji | 9 | Bagikan,,1b9cc226a464
30a63de2-3893-5b6f-b358-efeb238bf72c,e6adb728-5bd1-53c8-bd43-67b07d4a1c2b,Jakarta Moving | Local Guide · 151 ulasan · 95 foto | Diedit setahun lalu | Sering banget dapet order pindahan ke tempat ini sampai hafal tempat makan enaknya ....security ramah dan suka membantu kami | Suka | Bagikan,,2966861a7aab
0e4a19f0-a7ee-5029-a02b-7d5e49dee99b,e6adb728-5bd1-53c8-bd43-67b07d4a1c2b,"Louis Ratuela | 8 ulasan | 4 tahun lalu | Tmpt lumayan,tap masih banyak rmh yg TDK ada penghuninya.lokasi rapih bersih,security trjamin. | 1 | Bagikan",,c6df4bc73dc2
32b1222e-175b-5856-a936-5a938e7b4e2c,ba916dfd-8701-51ab-9018-18f130537be9,"Arif Petualang | Local Guide · 2.289 ulasan · 16.813 foto | setahun lalu | Salah satu kompleks perumahan di kawasan Daan Mogot Pesing . Area sangat luas, keamanan terjamin dengan sekuriti setempat. Lingkungan tertata rapi dan bersih.  Banyak pepohonan yang rindang. Lokasinya yang strategis dekat jalan utama dan akses tol. Akan tetapi lalulintas di kawasan ini sangat padat. Banyak kendaraan besar melintas. | 0:11 | +8 | 3 | Bagikan",,a0b9f5fb55a3
